participant;condition;cb;ratings;agef1_rating;agef2_rating;agef3_rating;agef4_rating;agef1_rt;agef2_rt;agef3_rt;agef4_rt;nasa1_rating;nasa2_rating;nasa3_rating;nasa4_rating;nasa1_rt;nasa2_rt;nasa3_rt;nasa4_rt
1010;0;1;bht;1;1;6;6;5.618;9.943;15.296;18.332;5;1;4;5;5.551;7.942;13.133;20.99
1010;0;1;vts;4;5;2;3;8.648;13.361;16.315;19.611;2;1;5;4;3.962;5.899;9.276;17.538
