participant;condition;cb;date;exp_name;frame_rate;training_bht;enable_ib;trial_nr;problem_nr;action;premature;response;correct_resp;correct;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;0;1;1;0;k;q;0;4.5459063;0.6;0;7;4.367;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;1;1;1;0;k;p;0;3.6916838;0.6;1;7;4.358;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;2;1;8;1;d;q;-1;2.4368565;0.3;2;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;3;1;1;0;d;q;0;2.6174473;0.9;3;7;5.511;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;0;2;1;0;k;q;0;5.4308897;0.9;12;8;4.759;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;1;2;9;0;?;p;9;-1;0.9;13;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;2;2;8;1;d;q;-1;1.8975027;0.6;14;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;3;2;8;1;d;q;-1;1.8713768;0.3;15;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;0;3;8;1;d;q;-1;1.8961863;0.9;24;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;1;3;8;1;k;p;-1;1.2157322;0.3;25;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;2;3;1;0;d;q;0;2.8282075;0.6;26;5;3.361;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;3;3;1;0;k;q;0;3.0190978;0.3;27;5;2.678;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;0;1;1;0;d;q;1;4.5313703;0.6;0;5;6.08;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;1;1;1;0;d;p;1;3.5786082;0.6;1;5;6.234;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;2;1;1;0;d;q;0;3.6743787;0.3;2;7;4.513;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;3;1;1;0;k;p;0;2.8182723;0.9;3;8;6.895;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;4;1;1;0;d;q;0;2.8582687;0.9;4;7;2.914;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;5;1;1;0;d;p;1;2.8925852;0.6;5;4;4.905;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;6;1;1;0;k;p;0;2.8499268;0.3;6;8;3.563;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;7;1;1;0;d;q;0;2.9029896;0.3;7;7;2.941;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;8;1;1;0;k;p;1;2.8106939;0.9;8;7;2.952;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;9;1;1;0;k;q;1;3.0911043;0.6;9;4;0.568;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;10;1;8;1;d;p;-1;1.6526619;0.6;10;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;11;1;1;0;d;q;1;2.9729978;0.9;11;5;2.748;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;0;2;1;0;k;p;0;3.3665569;0.9;12;7;2.657;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;1;2;1;0;k;p;0;3.0680997;0.9;13;7;3.294;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;2;2;1;0;k;p;1;3.057099;0.6;14;6;2.776;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;3;2;1;0;d;q;0;3.126465;0.3;15;5;3.453;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;4;2;1;0;d;q;1;3.0967675;0.3;16;7;1.883;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;5;2;1;0;d;q;1;3.1634259;0.3;17;5;3.283;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;6;2;1;0;d;q;0;3.1232125;0.3;18;7;2.99;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;7;2;1;0;d;p;0;3.000543;0.9;19;5;2.23;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;8;2;1;0;d;p;1;2.937689;0.3;20;5;3.525;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;9;2;1;0;k;q;0;3.0091607;0.9;21;6;2.371;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;10;2;1;0;k;q;1;4.1702251;0.6;22;5;2.126;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;11;2;1;0;d;p;1;2.8450894;0.6;23;4;3.217;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;0;3;1;0;k;q;0;3.0465239;0.9;24;4;2.447;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;1;3;1;0;d;q;1;3.0560631;0.3;25;3;2.407;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;2;3;1;0;k;q;1;3.0376137;0.6;26;3;3.291;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;3;3;1;0;k;q;0;3.1981728;0.3;27;5;1.68;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;4;3;1;0;d;q;1;4.1497568;0.9;28;6;3.946;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;5;3;1;0;k;q;0;3.0433926;0.3;29;6;3.403;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;6;3;1;0;d;q;0;2.8122842;0.6;30;6;1.917;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;7;3;1;0;d;q;0;3.7230231;0.9;31;6;1.204;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;8;3;1;0;d;q;1;3.25791;0.6;32;6;1.989;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;9;3;8;1;d;q;-1;2.4082465;0.3;33;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;10;3;1;0;d;q;1;3.2613416;0.6;34;5;2.002;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;11;3;1;0;d;q;1;2.9815965;0.9;35;4;1.713;3
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;0;4;1;0;k;q;1;3.1833196;0.9;36;5;2.921;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;1;4;1;0;d;p;0;3.3965738;0.3;37;6;2.401;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;2;4;1;0;k;q;0;3.2690338;0.6;38;6;2.741;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;3;4;1;0;d;p;1;4.323476;0.9;39;6;4.006;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;4;4;1;0;d;p;0;3.0945681;0.3;40;7;3.382;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;5;4;1;0;k;q;0;3.0051316;0.3;41;6;1.99;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;6;4;1;0;k;q;1;3.5849187;0.6;42;6;3.663;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;7;4;1;0;k;p;0;2.9062869;0.9;43;7;1.704;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;8;4;1;0;k;p;1;2.9810594;0.6;44;5;2.849;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;0;1;9;4;1;0;d;q;0;2.8908756;0.6;45;6;1.424;5
