participant;condition;cb;date;training_bht;problem_nr;bht_estimation;bht_rt;bht_start;bht_final_correct
1012;0;1;2023-11-21_17h30.14.289;1;1;2;3.103;5;0
1012;0;1;2023-11-21_17h30.14.289;0;1;4;1.006;6;-1
1012;0;1;2023-11-21_17h30.14.289;0;2;10;13.638;7;-1
1012;0;1;2023-11-21_17h30.14.289;0;3;4;1.844;8;-1
1012;0;1;2023-11-21_17h30.14.289;0;4;6;2.703;4;-1
1012;0;1;2023-11-21_17h30.14.289;0;5;3;1.954;4;-1
1012;0;1;2023-11-21_17h30.14.289;0;6;3;1.437;5;-1
