participant;condition;cb;date;exp_name;frame_rate;training_vts;enable_ib;trial_nr;block_nr;stim;action;premature;response;correct_resp;correct;task_sel;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;0;1;circle_right;9;0;?;NA;9;-1;-1;0.6;0;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;1;1;square_right;1;0;k;k;1;2;2.6896067;0.6;1;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;2;1;square_middle;1;0;k;k;1;2;2.2621629;0.3;2;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;3;1;square_middle;1;0;d;d;1;1;1.6373972;0.9;3;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;4;1;triangle_right;1;0;ralt;ralt;1;2;1.6179888;0.9;4;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;5;1;triangle_middle;1;0;d;d;1;1;2.5902666;0.6;5;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;6;1;square_middle;8;1;d;NA;-1;-1;0.7812837;0.3;6;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;7;1;triangle_middle;8;1;d;NA;-1;-1;0.0265271;0.3;7;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;0;8;1;triangle_right;1;0;lalt;lalt;1;1;2.627618;0.9;8;-1;-1;-1
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;0;2;circle_right;1;0;o;o;1;2;2.4265298;0.6;0;7;999;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;1;2;square_right;1;0;k;k;1;2;3.9907016;0.6;1;6;3.759;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;2;2;square_middle;1;0;d;d;1;1;4.0265278;0.3;2;5;6.953;6
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;3;2;square_middle;1;0;d;d;1;1;1.630993;0.9;3;6;5.551;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;4;2;triangle_right;1;0;k;ralt;0;2;3.5954866;0.9;4;2;4.929;8
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;5;2;triangle_middle;1;0;d;d;1;1;1.7660355;0.6;5;3;3.221;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;6;2;square_middle;1;0;d;d;1;1;2.085885;0.3;6;2;4.078;7
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;7;2;triangle_middle;1;0;ralt;ralt;1;2;3.0019326;0.3;7;4;3.975;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;8;2;triangle_right;1;0;ralt;ralt;1;2;2.7256004;0.9;8;5;3.781;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;0;3;circle_right;1;0;o;o;1;2;1.9984598;0.6;0;6;3.696;5
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;1;3;square_right;1;0;k;k;1;2;3.3787542;0.6;1;2;1.527;2
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;2;3;square_middle;1;0;d;d;1;1;2.1094593;0.3;2;5;4.463;4
1010;0;1;2023-11-24_14h53.08.361;BHT_VTS;59.99077342;1;1;3;3;square_middle;1;0;d;d;1;1;2.4734726;0.9;3;6;3.024;7
