participant;condition;cb;date;exp_name;frame_rate;training_vts;enable_ib;trial_nr;block_nr;stim;action;premature;response;correct_resp;correct;task_sel;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;0;1;circle_left;1;0;lalt;lalt;1;2;2.672831700008828;0.6;0;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;1;1;triangle_middle;8;1;w;NA;-1;-1;0.9344878999982029;0.3;1;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;2;1;square_middle;1;0;d;d;1;2;1.8691102999728173;0.3;2;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;3;1;square_left;1;0;d;d;1;2;2.1554044999647886;0.9;3;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;4;1;circle_left;1;0;ralt;ralt;1;1;2.238271899987012;0.9;4;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;5;1;circle_middle;1;0;k;k;1;1;2.3039528999943286;0.6;5;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;6;1;triangle_left;1;0;ralt;ralt;1;1;2.20249379996676;0.6;6;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;7;1;triangle_left;1;0;w;w;1;2;2.31626219995087;0.3;7;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;0;8;1;square_middle;1;0;d;d;1;2;3.576001700013876;0.9;8;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;0;2;circle_left;1;0;ralt;ralt;1;1;2.0001809999812394;0.6;0;5;3.941;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;1;2;triangle_middle;1;0;w;w;1;2;2.382944699958898;0.3;1;3;1.574;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;2;2;square_middle;1;0;d;d;1;2;1.8852577999932691;0.3;2;3;4.189;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;3;2;square_left;1;0;d;d;1;2;2.265872100018896;0.9;3;4;5.314;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;4;2;circle_left;1;0;ralt;ralt;1;1;2.2758463000063784;0.9;4;5;2.479;4
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;5;2;circle_middle;1;0;lalt;lalt;1;2;2.616240100003779;0.6;5;6;1.572;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;6;2;triangle_left;1;0;w;w;1;2;1.7522782000014558;0.6;6;5;1.28;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;7;2;triangle_left;1;0;o;ralt;0;1;1.75668950000545;0.3;7;3;2.573;3
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;8;2;square_middle;1;0;k;k;1;1;2.104098299983889;0.9;8;5;1.306;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;0;3;circle_left;1;0;lalt;lalt;1;2;2.0979260999592952;0.6;0;5;2.204;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;1;3;triangle_middle;1;0;w;w;1;2;2.2984140999615192;0.3;1;4;1.649;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;2;3;square_middle;8;1;o;NA;-1;-1;0.8413629000424407;0.3;2;-1;-1;-1
