participant;condition;cb;date;exp_name;frame_rate;training_bht;enable_ib;trial_nr;problem_nr;action;premature;response;correct_resp;correct;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;0;1;8;1;k;q;-1;2.053141799988225;0.6;0;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;1;1;1;0;k;p;0;3.4355077000218444;0.3;1;3;3.808;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;2;1;1;0;k;q;0;4.814797899976838;0.3;2;3;4.491;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;3;1;8;1;d;q;-1;2.2673442999948747;0.9;3;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;0;2;1;0;k;q;0;4.292435700015631;0.3;12;3;3.494;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;1;2;1;0;k;p;0;3.5062929000123404;0.6;13;5;3.506;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;2;2;1;0;d;q;0;4.631637399957981;0.3;14;6;1.064;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;3;2;1;0;k;q;0;3.086570199986454;0.6;15;7;1.127;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;0;3;1;0;d;q;0;4.261432799976319;0.6;24;3;4.202;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;1;3;8;1;k;p;-1;0.8159892000257969;0.9;25;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;2;3;1;0;k;q;0;2.8447548000258394;0.9;26;5;1.91;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;1;1;3;3;1;0;d;q;0;3.1923985999892466;0.9;27;5;0.922;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;0;1;1;0;k;q;0;2.94440440001199;0.6;0;3;4.953;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;1;1;1;0;d;p;0;3.4229044999810867;0.3;1;6;2.64;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;2;1;8;1;d;q;-1;0.8687428999692202;0.3;2;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;3;1;1;0;d;p;0;2.9999726999667473;0.9;3;7;0.812;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;4;1;1;0;k;q;0;4.109945699980017;0.9;4;6;999;3
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;5;1;8;1;d;p;-1;0.6744368000072427;0.6;5;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;6;1;1;0;d;p;0;4.827757199993357;0.6;6;5;1.265;3
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;7;1;1;0;d;q;0;3.6507253000163473;0.3;7;3;1.59;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;8;1;1;0;d;p;0;3.7777034000027925;0.9;8;9;1.203;3
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;9;1;1;0;d;q;0;3.3033031999948435;0.9;9;7;1.355;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;10;1;1;0;k;p;0;3.683136600011494;0.9;10;9;1.096;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;11;1;8;1;k;q;-1;1.1765860000159591;0.3;11;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;0;2;8;1;d;p;-1;1.5283144999993965;0.3;12;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;1;2;1;0;k;p;0;3.020417299994733;0.6;13;6;1.518;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;2;2;1;0;d;p;0;4.621309700014535;0.3;14;3;1.274;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;3;2;1;0;d;q;0;3.210435199958738;0.6;15;4;1.6;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;4;2;1;0;d;q;0;3.7540119000477716;0.9;16;4;1.043;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;5;2;1;0;d;q;0;3.0842337000067346;0.6;17;4;0.895;3
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;6;2;1;0;d;q;0;2.9063375999685377;0.3;18;4;1.091;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;7;2;8;1;k;p;-1;2.2457723999978043;0.6;19;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;8;2;8;1;k;p;-1;2.159711199987214;0.6;20;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;9;2;1;0;k;q;0;2.780083600024227;0.3;21;3;1.161;4
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;10;2;1;0;d;q;0;3.4037445000139996;0.9;22;4;0.859;2
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;11;2;1;0;d;p;0;4.1484718000283465;0.3;23;4;1.966;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;0;3;8;1;d;q;-1;0.9523122999817133;0.6;24;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;1;3;1;0;k;q;0;2.9889187999651767;0.9;25;6;1.486;7
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;2;3;1;0;k;q;0;2.8298428999842145;0.9;26;5;2.982;6
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;3;3;1;0;k;q;0;3.4481129000196233;0.9;27;4;1.281;5
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;4;3;8;1;k;q;-1;1.6789392000064254;0.6;28;-1;-1;-1
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;5;3;1;0;k;q;0;2.620108800008893;0.6;29;4;0.956;8
1011;1;2;2023-11-20_16h54.26.643;BHT_VTS;59.97904331630535;0;1;6;3;1;0;d;q;0;3.4073822000063956;0.3;30;5;0.805;7
