participant;condition;cb;date;training_bht;problem_nr;bht_estimation;bht_rt;bht_start;bht_final_correct
1010;0;1;2023-11-24_14h53.08.361;1;1;10;21.785;7;0
1010;0;1;2023-11-24_14h53.08.361;1;2;9;18.275;4;1
1010;0;1;2023-11-24_14h53.08.361;1;3;4;8.205;6;0
1010;0;1;2023-11-24_14h53.08.361;0;1;9;7.986;5;-1
1010;0;1;2023-11-24_14h53.08.361;0;2;2;2.555;3;-1
1010;0;1;2023-11-24_14h53.08.361;0;3;4;4.387;8;-1
1010;0;1;2023-11-24_14h53.08.361;0;4;1;4.054;4;-1
1010;0;1;2023-11-24_14h53.08.361;0;5;2;3.753;8;-1
1010;0;1;2023-11-24_14h53.08.361;0;6;5;7.87;5;-1
