participant;condition;cb;ratings;agef1_rating;agef2_rating;agef3_rating;agef4_rating;agef1_rt;agef2_rt;agef3_rt;agef4_rt;nasa1_rating;nasa2_rating;nasa3_rating;nasa4_rating;nasa1_rt;nasa2_rt;nasa3_rt;nasa4_rt
1011;1;2;bht;1;1;6;2;25.996;29.571;34.135;36.018;4;1;4;1;3.644;5.504;8.962;25.511
1011;1;2;vts;7;1;2;3;4.352;58.702;66.767;69.103;1;7;1;4;3.373;9.949;12.996;16.306
